City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
9,Hilo,US,79.79,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
11,Alofi,NU,80.19,broken clouds,-19.0595,-169.9187,Taloa Heights
14,Atuona,PF,79.57,light rain,-9.8,-139.0333,Villa Enata
16,Georgetown,MY,82.89,few clouds,5.4112,100.3354,Cititel Penang
20,Luganville,VU,77.72,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
25,Sabang,ID,84.15,overcast clouds,5.8933,95.3214,Hotel Citra
27,Puerto Ayora,EC,77.56,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
29,Bathsheba,BB,80.8,broken clouds,13.2167,-59.5167,Atlantis Hotel
31,Kutum,SD,76.8,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
38,Butaritari,KI,82.89,light rain,3.0707,172.7902,Isles Sunset Lodge
42,Bandarbeyla,SO,81.16,broken clouds,9.4942,50.8122,JABIR HOTEL
44,Waynesville,US,83.08,clear sky,35.4887,-82.9887,Best Western Smoky Mountain Inn
56,Mandera,KE,78.91,broken clouds,3.9366,41.867,Kornesh Hotel and Lodging
58,Umm Kaddadah,SD,80.62,clear sky,13.6017,26.6876,
62,Sao Joao Da Barra,BR,75.6,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
65,Kampot,KH,80.47,moderate rain,10.6167,104.1833,Two Moons Hotel
67,Kashan,IR,76.19,broken clouds,33.9831,51.4364,Manouchehri Traditional House
71,Karaton,ID,79.95,scattered clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
74,Vaini,TO,75.38,overcast clouds,-21.2,-175.2,Keleti Beach Resort
79,Kapaa,US,81.12,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
81,Phan Thiet,VN,77.95,overcast clouds,10.9333,108.1,Hotel Saigon-PT
82,Dawei,MM,76.17,overcast clouds,14.0833,98.2,Hotel Dawei
85,Sulangan,PH,83.34,clear sky,11.1373,123.7228,Maia's Beach Resort
87,Omboue,GA,77.02,overcast clouds,-1.5746,9.2618,Hotel Olako
88,Arraial Do Cabo,BR,75.54,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
90,Wamba,NG,75.42,broken clouds,8.9333,8.6,Roma Zee Guest House Annex
102,Kavieng,PG,81.14,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
104,Tutoia,BR,80.2,broken clouds,-2.7619,-42.2744,Pousada Guará's
110,Buchanan,LR,80.82,scattered clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
111,Jamestown,US,78.3,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
114,Lorengau,PG,81.86,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
121,Belawan,ID,77.29,overcast clouds,3.7755,98.6832,Lilik Hidayat Pulungan
122,San Angelo,US,83.32,overcast clouds,31.4638,-100.43700000000001,"Motel 6 San Angelo, TX"
123,Meulaboh,ID,76.98,overcast clouds,4.1363,96.1285,Kost Pria
126,Honiara,SB,76.82,overcast clouds,-9.4333,159.95,Heritage Park Hotel
128,Fortuna,US,78.19,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
