City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Longonjo,AO,-12.9067,15.2533,58.51,59,1,2.84,clear sky
1,Hermanus,ZA,-34.4187,19.2345,59.81,54,56,8.5,broken clouds
2,Sobolevo,RU,54.4299,31.8996,46.67,96,32,8.03,scattered clouds
3,Busselton,AU,-33.65,115.3333,45.09,63,81,18.79,broken clouds
4,Dharchula,IN,29.85,80.5333,66.58,70,68,5.82,broken clouds
5,Leninskoye,KZ,41.7589,69.3864,67.78,60,65,5.28,broken clouds
6,Iqaluit,CA,63.7506,-68.5145,20.7,67,100,18.01,overcast clouds
7,Ufa,RU,54.775,56.0375,72.77,47,91,9.31,overcast clouds
8,Te Anau,NZ,-45.4167,167.7167,42.24,91,20,3.83,few clouds
9,Hilo,US,19.7297,-155.09,79.79,90,7,7.0,clear sky
10,Mataura,NZ,-46.1927,168.8643,49.48,93,12,1.07,few clouds
11,Alofi,NU,-19.0595,-169.9187,80.19,76,68,8.84,broken clouds
12,Bredasdorp,ZA,-34.5322,20.0403,60.28,48,70,6.31,broken clouds
13,Rikitea,PF,-23.1203,-134.9692,74.41,68,48,3.24,scattered clouds
14,Atuona,PF,-9.8,-139.0333,79.57,80,25,19.66,light rain
15,Nelson Bay,AU,-32.7167,152.15,59.0,95,70,3.96,broken clouds
16,Georgetown,MY,5.4112,100.3354,82.89,86,20,1.99,few clouds
17,Ushuaia,AR,-54.8,-68.3,38.7,97,100,8.68,light rain
18,New Norfolk,AU,-42.7826,147.0587,48.76,77,96,3.6,overcast clouds
19,Tuktoyaktuk,CA,69.4541,-133.0374,33.94,87,78,9.19,broken clouds
20,Luganville,VU,-15.5333,167.1667,77.72,75,100,8.03,overcast clouds
21,Gat,IL,31.61,34.7642,68.68,80,11,2.01,few clouds
22,Ola,RU,59.5833,151.2833,38.05,81,18,1.9,few clouds
23,Esperance,AU,-33.8667,121.9,50.76,79,88,25.77,overcast clouds
24,Vardo,NO,70.3705,31.1107,35.74,63,33,7.0,scattered clouds
25,Sabang,ID,5.8933,95.3214,84.15,75,100,16.53,overcast clouds
26,Egvekinot,RU,66.3167,-179.1667,31.12,95,100,3.8,overcast clouds
27,Puerto Ayora,EC,-0.7393,-90.3518,77.56,83,68,7.0,broken clouds
28,San Javier,ES,37.8063,-0.8374,60.13,90,100,3.0,moderate rain
29,Bathsheba,BB,13.2167,-59.5167,80.8,74,55,16.58,broken clouds
30,Brae,GB,60.3964,-1.353,46.31,75,100,11.07,overcast clouds
31,Kutum,SD,14.2,24.6667,76.8,16,4,13.15,clear sky
32,Saint-Pierre,RE,-21.3393,55.4781,71.24,94,75,5.75,moderate rain
33,Kohlu,PK,29.8962,69.252,73.08,44,0,2.8,clear sky
34,Port Elizabeth,ZA,-33.918,25.5701,52.09,71,40,3.44,scattered clouds
35,Punta Arenas,CL,-53.15,-70.9167,39.11,83,99,7.67,overcast clouds
36,Kruisfontein,ZA,-34.0033,24.7314,61.2,28,22,9.26,few clouds
37,Harrismith,ZA,-28.2728,29.1295,41.13,49,8,3.87,clear sky
38,Butaritari,KI,3.0707,172.7902,82.89,78,71,17.87,light rain
39,Severo-Kurilsk,RU,50.6789,156.125,45.9,64,39,8.32,scattered clouds
40,Nanortalik,GL,60.1432,-45.2371,37.26,66,100,6.22,overcast clouds
41,Bozeman,US,45.6796,-111.0386,51.22,85,90,6.62,overcast clouds
42,Bandarbeyla,SO,9.4942,50.8122,81.16,72,63,22.46,broken clouds
43,Port Alfred,ZA,-33.5906,26.891,65.41,38,83,9.75,broken clouds
